epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.466094732284546,0.3729861080646515,1.1664966344833374,0.31677019596099854
2,1.1564785242080688,0.41701388359069824,1.084795594215393,0.42391303181648254
3,1.0637303590774536,0.4588888883590698,1.0321931838989258,0.489130437374115
4,1.0294102430343628,0.48395833373069763,1.025994062423706,0.4627329111099243
5,0.9922695159912109,0.5105555653572083,1.022189736366272,0.4860248565673828
6,0.976733386516571,0.5235416889190674,0.9309157133102417,0.5341615080833435
7,0.9537515640258789,0.5422222018241882,0.9416637420654297,0.5419254899024963
8,0.9351803064346313,0.5531250238418579,1.068983793258667,0.5139751434326172
9,0.9269684553146362,0.5672222375869751,0.9019802808761597,0.5760869383811951
10,0.9058722853660583,0.5759027600288391,0.9055671691894531,0.5822981595993042
11,0.9047650098800659,0.5750694274902344,1.0283970832824707,0.52173912525177
12,0.8893412947654724,0.5899999737739563,1.009408950805664,0.4984472095966339
13,0.8777304887771606,0.5950694680213928,0.857833981513977,0.6086956262588501
14,0.8600944876670837,0.6065278053283691,0.9760902523994446,0.5481366515159607
15,0.8505367636680603,0.6126388907432556,0.8537904024124146,0.6273291707038879
16,0.8370335102081299,0.621874988079071,0.8759928345680237,0.6257764101028442
17,0.8171108961105347,0.6329166889190674,0.8572273850440979,0.6071428656578064
18,0.806833028793335,0.64041668176651,0.8421123623847961,0.6211180090904236
19,0.7967410683631897,0.6505555510520935,0.8565335273742676,0.6288819909095764
20,0.789390504360199,0.6496527791023254,0.8947944641113281,0.6055900454521179
21,0.7627230882644653,0.6645833253860474,0.9568647146224976,0.5527950525283813
22,0.7527838945388794,0.6725000143051147,0.8122937679290771,0.6583850979804993
23,0.7498898506164551,0.6699305772781372,0.8921526074409485,0.600931704044342
24,0.7324360609054565,0.6816666722297668,0.8414404392242432,0.6304348111152649
25,0.7117360234260559,0.6940972208976746,0.8378863334655762,0.6413043737411499
26,0.7013097405433655,0.6978472471237183,0.8807942867279053,0.600931704044342
27,0.694091260433197,0.7026388645172119,0.88279128074646,0.6226708292961121
28,0.6779507994651794,0.710486114025116,0.9035628437995911,0.6071428656578064
29,0.6673021912574768,0.7172222137451172,0.9403651356697083,0.611801266670227
30,0.6533065438270569,0.7212499976158142,0.8700489401817322,0.6304348111152649
31,0.6387098431587219,0.7296527624130249,0.858940839767456,0.6444099545478821
32,0.6265394687652588,0.7411110997200012,0.8631436228752136,0.6164596080780029
33,0.6221351027488708,0.7437499761581421,0.9323505163192749,0.6040372848510742
34,0.603818416595459,0.7500694394111633,0.899303674697876,0.6226708292961121
35,0.5841704607009888,0.7581944465637207,0.9518076181411743,0.6273291707038879
36,0.5813150405883789,0.7590277791023254,0.9442278742790222,0.6024844646453857
37,0.5681756138801575,0.7676388621330261,0.9287316203117371,0.6366459727287292
38,0.5503835678100586,0.7769444584846497,0.96296626329422,0.6086956262588501
39,0.5459990501403809,0.7763888835906982,1.0076971054077148,0.5962733030319214
40,0.5297475457191467,0.7822916507720947,0.9783625602722168,0.6180124282836914
41,0.5191793441772461,0.7875694632530212,0.9761822819709778,0.6180124282836914
42,0.5140445828437805,0.7908333539962769,0.943337082862854,0.6459627151489258
43,0.5027046203613281,0.7961805462837219,1.0121275186538696,0.6288819909095764
44,0.4930163025856018,0.8033333420753479,0.9829917550086975,0.638198733329773
45,0.4980566203594208,0.7994444370269775,1.010868787765503,0.6226708292961121
46,0.4826330542564392,0.8056944608688354,0.969308614730835,0.6164596080780029
47,0.4717727601528168,0.8131250143051147,1.0215082168579102,0.6444099545478821
48,0.4588353931903839,0.8141666650772095,0.9757416248321533,0.6397515535354614
49,0.4559051990509033,0.8157638907432556,1.0803321599960327,0.6444099545478821
50,0.45244574546813965,0.8211110830307007,1.0053329467773438,0.6506211161613464
51,0.44424787163734436,0.8263888955116272,0.9619360566139221,0.6366459727287292
52,0.4289410710334778,0.8307638764381409,1.0490210056304932,0.6413043737411499
53,0.4267347455024719,0.831458330154419,1.0298055410385132,0.6180124282836914
54,0.41779398918151855,0.8334027528762817,1.1193945407867432,0.6242235898971558
55,0.4135045111179352,0.835972249507904,1.0096749067306519,0.6273291707038879
